word,entry_type_code,region_code,source_code,note
arugula,root,name,oald_8,
arum lilies,phrase,uk,oald_8,
arum lily,phrase,uk,oald_8,
arvo,root,austral,oald_8,
arvo,root,nz,oald_8,
ascot,root,name,oald_8,
aside from,phrase,name,oald_8,
ask around,phrase,us,opvd_2,
askari,root,eafr,oald_8,
asked around,phrase,us,opvd_2,
asking around,phrase,us,opvd_2,
asks around,phrase,us,opvd_2,
ass-licker,root,name,oald_8,
ass-licking,root,name,oald_8,
assault course,phrase,uk,oald_8,
assault courses,phrase,uk,oald_8,
assembly room,phrase,uk,oald_8,
assembly rooms,phrase,uk,oald_8,
asshole,root,name,oald_8,
assistant professor,phrase,name,oald_8,
assistant professors,phrase,name,oald_8,
asymetric bars,phrase,uk,oald_8,
at christmas,phrase,uk,teacher_diane,
at the weekend,phrase,uk,teacher_diane,
athletic shoe,phrase,name,oald_8,
athletic shoes,phrase,name,oald_8,
athletic supporter,phrase,name,oald_8,
athletic supporters,phrase,name,oald_8,
atishoo,root,uk,oald_8,
atm card,phrase,us,oald_8,
atm cards,phrase,us,oald_8,
atomise,root,uk,mwcd_11,
atomiser,root,uk,mwcd_11,
atop,root,name,oald_8,
atp,root,uk,oald_8,
attaboy,root,name,oald_8,
attendee,root,name,oald_8,
attender,root,uk,oald_8,
attitudinise,root,uk,mwcd_11,
attn.,root,name,oald_8,
atv,root,name,oald_8,
aubergine,root,uk,oald_8,
authorisation,root,uk,oald_8,
authorise,root,uk,oald_8,
auto bra,phrase,name,oald_8,
autocue,root,uk,oald_8,
autolyse,root,uk,mwcd_11,
automaker,root,name,oald_8,
automat,root,us,oald_8,
autumn,root,uk,oald_8,
avalanche,root,uk,oald_8,
avocado pear,phrase,uk,oald_8,
avocado pears,phrase,uk,oald_8,
aw,root,name,oald_8,
awayday,root,uk,oald_8,
ax,root,us,oald_8,
axe,root,uk,oald_8,
axeman,root,uk,oald_8,
axman,root,us,oald_8,
ayah,root,ind,oald_8,
b & b,phrase,uk,oald_8,
b and b,phrase,uk,oald_8,
b.a.,root,name,oald_8,
b.c.,root,us,oald_8,
b.c.e.,root,name,oald_8,
b.ed.,root,name,oald_8,
b.litt,root,name,oald_8,
b.mus,root,name,oald_8,
b.phil,root,name,oald_8,
b.s.,root,name,oald_8,
ba,root,uk,oald_8,
babbitt,root,name,oald_8,
babby,root,uk,oald_8,
babe magnet,phrase,name,oald_8,
babe magnets,phrase,name,oald_8,
babu,root,ind,oald_8,
baby boomer,phrase,uk,oald_8,
baby boomers,phrase,uk,oald_8,
baby bouncer,phrase,uk,oald_8,
baby bouncers,phrase,uk,oald_8,
baby buggies,phrase,uk,oald_8,
baby buggy,phrase,uk,oald_8,
baby carriage,phrase,name,oald_8,
baby carriages,phrase,name,oald_8,
baby fat,phrase,name,oald_8,
baby shower,phrase,name,oald_8,
baby walker,phrase,uk,oald_8,
baby walkers,phrase,uk,oald_8,
babygro,root,uk,oald_8,
baccy,root,uk,oald_8,
bach,root,nz,oald_8,
bachelor parties,phrase,name,oald_8,
bachelor party,phrase,name,oald_8,
bachelorette,root,name,oald_8,
back copies,phrase,uk,oald_8,
back copy,phrase,uk,oald_8,
back end,phrase,uk,oald_8,
back number,phrase,uk,oald_8,
back numbers,phrase,uk,oald_8,
back off,phrase,us,opvd_2,
back onto,phrase,uk,oald_8,
back passage,phrase,uk,oald_8,
back passages,phrase,uk,oald_8,
back talk,phrase,name,oald_8,
back to front,phrase,name,oald_8,
back-burner,root,name,oald_8,
back-pedaled,inflection,name,oald_8,
back-pedaling,inflection,name,oald_8,
back-room boys,phrase,uk,oald_8,
back-to-back,root,uk,oald_8,
backchat,root,uk,oald_8,
backcloth,root,uk,oald_8,
backcomb,root,uk,oald_8,
backcountry,root,name,oald_8,
backcrawl,root,uk,oald_8,
backed off,phrase,us,opvd_2,
backed onto,phrase,uk,oald_8,
backhander,root,uk,oald_8,
backing off,phrase,us,opvd_2,
backing onto,phrase,uk,oald_8,
backmarker,root,uk,oald_8,
backs off,phrase,us,opvd_2,
backs onto,phrase,uk,oald_8,
backup,root,us,opvd_2,
backup light,phrase,name,oald_8,
backup lights,phrase,name,oald_8,
backward,root,name,oald_8,
backward classes,phrase,ind,oald_8,
backwoodsman,root,name,oald_8,
backyard,root,name,oald_8,Acceptable in both British and North American English
backyard,root,uk,oald_8,Acceptable in both British and North American English
badass,root,name,oald_8,
baddy,root,uk,oald_8,
badmash,root,ind,oald_8,
bafana bafana,phrase,safr,oald_8,
bag lunch,phrase,name,oald_8,
bag lunches,phrase,name,oald_8,
baggage car,phrase,name,oald_8,
baggage cars,phrase,name,oald_8,
baggage claim,phrase,name,oald_8,
baggage claims,phrase,name,oald_8,
baggage reclaim,phrase,uk,oald_8,
baggage reclaims,phrase,uk,oald_8,
baggie,root,name,oald_8,
bagpipe,inflection,name,oald_8,
bailiff,root,name,oald_8,Acceptable in both British and North American English
bailiff,root,uk,oald_8,Acceptable in both British and North American English
bairn,root,neng,oald_8,
bairn,root,scot,oald_8,
bake sale,phrase,name,oald_8,
bake sales,phrase,name,oald_8,
baked beans,phrase,name,oald_8,Acceptable in both British and North American English
baked beans,phrase,uk,oald_8,Acceptable in both British and North American English
bakeshop,root,name,oald_8,
baking flour,phrase,us,oald_8,
baking sheet,phrase,uk,oald_8,
baking sheets,phrase,uk,oald_8,
baking tray,phrase,uk,oald_8,
baking trays,phrase,uk,oald_8,
bakkie,root,safr,oald_8,
balance beam,phrase,name,oald_8,
balance beams,phrase,name,oald_8,
bald-faced,root,name,oald_8,
bale out,phrase,uk,opvd_2,
baled out,phrase,uk,opvd_2,
bales out,phrase,uk,opvd_2,
baling out,phrase,uk,opvd_2,
balk,root,name,oald_8,
balk at,phrase,us,opvd_2,
balked at,phrase,us,opvd_2,
balking at,phrase,us,opvd_2,
balks at,phrase,us,opvd_2,
balky,root,name,oald_8,
ball hockey,phrase,can,oald_8,
ball up,phrase,us,opvd_2,
balled up,phrase,us,opvd_2,
ballhawk,root,us,oald_8,
balling up,phrase,us,opvd_2,
ballot paper,phrase,uk,oald_8,
ballot papers,phrase,uk,oald_8,
balls up,phrase,us,opvd_2,
balls-up,root,uk,oald_8,
ballsy,root,name,oald_8,
baloney,root,name,oald_8,
banana belt,phrase,name,oald_8,
banana belts,phrase,name,oald_8,
banana skin,phrase,uk,oald_8,
band council,phrase,can,oald_8,
band councils,phrase,can,oald_8,
band-aid,root,name,oald_8,
bandh,root,ind,oald_8,
bandito,root,name,oald_8,
bandobast,root,ind,oald_8,
bandy around,phrase,us,opvd_2,
bandyed around,phrase,us,opvd_2,
bandying around,phrase,us,opvd_2,
bandys around,phrase,us,opvd_2,
bang about,phrase,uk,opvd_2,
bang away at,phrase,us,opvd_2,
bang-up,root,name,oald_8,
banged about,phrase,uk,opvd_2,
banged away at,phrase,us,opvd_2,
banged up,phrase,name,oald_8,
banger,root,uk,oald_8,
banging about,phrase,uk,opvd_2,
banging away at,phrase,us,opvd_2,
bangs about,phrase,uk,opvd_2,
bangs away at,phrase,us,opvd_2,
bania,root,ind,oald_8,
banisters,inflection,uk,oald_8,
bank card,phrase,name,oald_8,Acceptable in both British and North American English
bank card,phrase,uk,oald_8,Acceptable in both British and North American English
bank cards,phrase,name,oald_8,Acceptable in both British and North American English
bank cards,phrase,uk,oald_8,Acceptable in both British and North American English
bank holiday,phrase,uk,oald_8,
bank holidays,phrase,uk,oald_8,
bank up,phrase,uk,opvd_2,
banked up,phrase,uk,opvd_2,
banker's card,phrase,uk,oald_8,
banker's cards,phrase,uk,oald_8,
banker's order,phrase,uk,oald_8,
banker's orders,phrase,uk,oald_8,
banking up,phrase,uk,opvd_2,
banks up,phrase,uk,opvd_2,
banner year,phrase,name,oald_8,
banner years,phrase,name,oald_8,
bap,root,uk,oald_8,
baptise,root,uk,oald_8,
bapu,root,ind,oald_8,
bar billiards,phrase,uk,oald_8,
bar-hop,root,name,oald_8,
baraza,root,eafr,oald_8,
barbie,root,austral,oald_8,
barbie,root,uk,oald_8,
bare out,phrase,uk,opvd_2,
bargaining counter,phrase,uk,oald_8,
bargaining counters,phrase,uk,oald_8,
barking mad,phrase,uk,oald_8,
barley water,phrase,uk,oald_8,
barreled,inflection,name,oald_8,
barreling,inflection,name,oald_8,
barrette,root,name,oald_8,
barrow boy,phrase,uk,oald_8,
barrow boys,phrase,uk,oald_8,
